text,sentiment
I love this movie,positive
This film was amazing,positive
I really enjoyed the story,positive
Excellent acting and direction,positive
This movie is very good,positive
I like this movie,positive
I enjoyed watching this film,positive
The movie was fantastic,positive
Amazing experience watching this movie,positive
This film is enjoyable,positive
I do not dislike this movie,positive
The movie is not bad,positive

Worst movie ever,negative
I hate this film,negative
Very boring and slow,negative
Terrible experience,negative
This movie is very bad,negative
I do not like this movie,negative
I did not enjoy this film,negative
The movie is not good,negative
This film is disappointing,negative
Bad acting and poor story,negative
The movie was boring,negative
I regret watching this movie,negative
